iter	Passed	Remaining
0	108	108422
1	110	55267
2	113	37586
3	115	28719
4	117	23387
5	119	19832
6	122	17323
7	124	15420
8	126	13930
9	128	12744
10	131	11790
11	133	10988
12	135	10309
13	138	9730
14	140	9194
15	142	8738
16	144	8366
17	146	8001
18	148	7671
19	150	7371
20	152	7100
21	154	6859
22	156	6632
23	158	6438
24	160	6252
25	162	6074
26	164	5912
27	166	5768
28	167	5623
29	169	5486
30	171	5367
31	173	5249
32	175	5140
33	177	5038
34	179	4941
35	181	4852
36	183	4766
37	184	4681
38	187	4612
39	189	4541
40	191	4467
41	193	4403
42	195	4339
43	196	4276
44	198	4219
45	201	4176
46	203	4127
47	205	4076
48	207	4023
49	209	3974
50	211	3927
51	212	3881
52	214	3837
53	216	3798
54	219	3763
55	220	3723
56	222	3681
57	224	3640
58	225	3604
59	227	3566
60	229	3533
61	231	3501
62	233	3470
63	235	3441
64	236	3408
65	238	3379
66	240	3352
67	242	3323
68	244	3298
69	246	3273
70	248	3248
71	250	3225
72	252	3205
73	254	3183
74	256	3159
75	258	3141
76	260	3119
77	261	3094
78	263	3071
79	265	3050
80	267	3029
81	268	3006
82	269	2977
83	271	2957
84	272	2936
85	274	2917
86	276	2902
87	278	2883
88	280	2866
89	281	2851
90	283	2835
91	285	2820
92	287	2803
93	289	2786
94	291	2774
95	293	2760
96	295	2747
97	297	2735
98	299	2722
99	300	2707
100	302	2692
101	304	2677
102	305	2661
103	307	2646
104	308	2632
105	310	2621
106	312	2609
107	314	2596
108	316	2583
109	317	2572
110	319	2561
111	321	2551
112	323	2541
113	325	2529
114	327	2519
115	329	2507
116	330	2492
117	332	2481
118	333	2470
119	335	2458
120	336	2446
121	338	2432
122	339	2422
123	341	2412
124	343	2403
125	345	2393
126	346	2381
127	348	2372
128	349	2362
129	351	2352
130	353	2342
131	354	2332
132	356	2322
133	357	2312
134	359	2303
135	361	2293
136	362	2283
137	364	2276
138	366	2268
139	367	2259
140	369	2251
141	370	2241
142	372	2234
143	374	2229
144	376	2221
145	378	2215
146	380	2209
147	382	2201
148	384	2194
149	386	2188
150	387	2180
151	389	2173
152	391	2165
153	392	2157
154	394	2149
155	395	2142
156	397	2134
157	399	2126
158	400	2119
159	402	2113
160	403	2103
161	405	2098
162	407	2090
163	408	2084
164	410	2078
165	412	2071
166	413	2064
167	415	2058
168	417	2051
169	418	2045
170	420	2038
171	422	2032
172	423	2026
173	426	2022
174	427	2016
175	429	2009
176	430	2003
177	432	1997
178	434	1991
179	435	1985
180	437	1978
181	438	1972
182	440	1966
183	441	1960
184	443	1954
185	445	1947
186	446	1942
187	448	1936
188	450	1931
189	451	1924
190	453	1919
191	454	1913
192	456	1908
193	458	1903
194	459	1898
195	461	1893
196	462	1886
197	464	1881
198	466	1876
199	467	1871
200	469	1866
201	471	1861
202	472	1856
203	474	1851
204	476	1847
205	477	1842
206	479	1837
207	481	1832
208	482	1827
209	484	1822
210	486	1817
211	488	1815
212	490	1811
213	491	1806
214	493	1801
215	495	1796
216	496	1792
217	498	1787
218	499	1781
219	501	1776
220	502	1771
221	504	1767
222	506	1763
223	507	1759
224	509	1755
225	511	1751
226	513	1748
227	515	1743
228	516	1739
229	518	1736
230	520	1731
231	522	1728
232	523	1723
233	525	1719
234	526	1714
235	528	1711
236	530	1707
237	531	1702
238	533	1698
239	535	1694
240	536	1690
241	538	1686
242	539	1681
243	541	1677
244	542	1672
245	544	1669
246	546	1664
247	547	1660
248	549	1656
249	550	1652
250	552	1648
